provider_id,provider_name,provider_type,specialty,network_status,geographic_region,contract_start_date,contract_status,claims_submitted_ytd,last_update_date
261,PRV_0261,hospital,cardiology,preferred,south,2022-02-21,active,532,2026-08-10 12:34:39.879432
262,PRV_0262,hospital,cardiology,preferred,northeast,2022-01-27,active,526,2026-08-10 12:34:39.879432
263,PRV_0263,hospital,cardiology,in_network,northeast,2022-05-29,active,543,2026-08-10 12:34:39.879432
264,PRV_0264,group_practice,cardiology,in_network,south,2022-09-22,active,565,2026-08-10 12:34:39.879432
265,PRV_0265,facility,psychiatry,in_network,south,2023-05-25,active,565,2026-08-10 12:34:39.879432
266,PRV_0266,group_practice,orthopedics,in_network,midwest,2020-07-28,active,546,2026-08-10 12:34:39.879432
267,PRV_0267,group_practice,cardiology,out_of_network,south,2021-03-09,under_review,579,2026-08-10 12:34:39.879432
268,PRV_0268,individual_md,orthopedics,out_of_network,midwest,2021-07-25,inactive,604,2026-08-10 12:34:39.879432
269,PRV_0269,group_practice,imaging,pending_contract,south,2022-11-19,inactive,538,2026-08-10 12:34:39.879432
270,PRV_0270,individual_md,cardiology,preferred,south,2018-12-04,inactive,574,2026-08-10 12:34:39.879432
271,PRV_0271,group_practice,emergency,in_network,northeast,2018-03-15,active,620,2026-08-10 12:34:39.879432
272,PRV_0272,facility,primary_care,in_network,northeast,2018-05-12,active,518,2026-08-10 12:34:39.879432
273,PRV_0273,urgent_care,imaging,in_network,south,2020-04-16,active,543,2026-08-10 12:34:39.879432
274,PRV_0274,group_practice,cardiology,in_network,south,2023-12-05,active,586,2026-08-10 12:34:39.879432
275,PRV_0275,group_practice,primary_care,out_of_network,south,2021-03-21,active,555,2026-08-10 12:34:39.879432
276,PRV_0276,group_practice,emergency,out_of_network,midwest,2021-11-20,active,550,2026-08-10 12:34:39.879432
277,PRV_0277,facility,orthopedics,in_network,south,2023-08-21,active,529,2026-08-10 12:34:39.879432
278,PRV_0278,individual_md,primary_care,in_network,midwest,2021-07-24,inactive,610,2026-08-10 12:34:39.879432
279,PRV_0279,individual_md,primary_care,in_network,northeast,2023-06-23,active,590,2026-08-10 12:34:39.879432
280,PRV_0280,individual_md,lab,in_network,south,2020-12-07,inactive,537,2026-08-10 12:34:39.879432
281,PRV_0281,hospital,psychiatry,pending_contract,midwest,2018-02-10,under_review,580,2026-08-10 12:34:39.879432
282,PRV_0282,individual_md,psychiatry,preferred,south,2019-01-14,active,550,2026-08-10 12:34:39.879432
283,PRV_0283,individual_md,primary_care,in_network,northeast,2018-02-23,active,561,2026-08-10 12:34:39.879432
284,PRV_0284,individual_md,emergency,in_network,south,2022-03-08,terminated,543,2026-08-10 12:34:39.879432
285,PRV_0285,group_practice,psychiatry,in_network,west,2020-06-01,active,554,2026-08-10 12:34:39.879432
286,PRV_0286,hospital,orthopedics,in_network,south,2019-07-30,active,564,2026-08-10 12:34:39.879432
287,PRV_0287,facility,primary_care,in_network,midwest,2023-06-09,active,567,2026-08-10 12:34:39.879432
288,PRV_0288,hospital,cardiology,in_network,south,2022-10-17,active,550,2026-08-10 12:34:39.879432
289,PRV_0289,group_practice,primary_care,in_network,northeast,2023-08-09,active,560,2026-08-10 12:34:39.879432
290,PRV_0290,group_practice,pharmacy,preferred,midwest,2023-03-03,inactive,560,2026-08-10 12:34:39.879432
291,PRV_0291,facility,lab,in_network,south,2021-07-12,active,569,2026-08-10 12:34:39.879432
292,PRV_0292,group_practice,imaging,out_of_network,midwest,2019-02-17,active,569,2026-08-10 12:34:39.879432
293,PRV_0293,group_practice,cardiology,in_network,northeast,2023-04-26,active,582,2026-08-10 12:34:39.879432
294,PRV_0294,individual_md,cardiology,in_network,midwest,2023-02-19,terminated,542,2026-08-10 12:34:39.879432
295,PRV_0295,hospital,cardiology,in_network,west,2023-01-07,active,537,2026-08-10 12:34:39.879432
296,PRV_0296,urgent_care,primary_care,in_network,midwest,2018-08-06,active,542,2026-08-10 12:34:39.879432
297,PRV_0297,group_practice,imaging,out_of_network,south,2019-01-23,inactive,518,2026-08-10 12:34:39.879432
298,PRV_0298,individual_md,primary_care,in_network,south,2018-01-21,active,580,2026-08-10 12:34:39.879432
299,PRV_0299,individual_md,cardiology,in_network,west,2020-10-28,terminated,565,2026-08-10 12:34:39.879432
300,PRV_0300,group_practice,primary_care,pending_contract,northeast,2023-08-13,active,563,2026-08-10 12:34:39.879432
301,PRV_0301,individual_md,primary_care,in_network,south,2019-05-11,active,580,2026-08-10 12:34:39.879432
302,PRV_0302,group_practice,orthopedics,preferred,midwest,2023-08-16,under_review,570,2026-08-10 12:34:39.879432
303,PRV_0303,group_practice,pharmacy,preferred,midwest,2018-08-05,active,558,2026-08-10 12:34:39.879432
304,PRV_0304,individual_md,primary_care,in_network,west,2021-03-02,active,533,2026-08-10 12:34:39.879432
305,PRV_0305,facility,orthopedics,out_of_network,south,2020-09-05,terminated,560,2026-08-10 12:34:39.879432
306,PRV_0306,individual_md,imaging,in_network,midwest,2022-06-29,active,561,2026-08-10 12:34:39.879432
307,PRV_0307,urgent_care,psychiatry,in_network,south,2021-08-29,active,547,2026-08-10 12:34:39.879432
308,PRV_0308,individual_md,cardiology,in_network,south,2021-01-17,terminated,573,2026-08-10 12:34:39.879432
309,PRV_0309,urgent_care,orthopedics,out_of_network,south,2022-01-09,terminated,549,2026-08-10 12:34:39.879432
310,PRV_0310,hospital,cardiology,in_network,northeast,2021-05-13,under_review,528,2026-08-10 12:34:39.879432
311,PRV_0311,group_practice,psychiatry,in_network,south,2021-09-08,active,576,2026-08-10 12:34:39.879432
312,PRV_0312,hospital,primary_care,in_network,midwest,2020-10-26,inactive,586,2026-08-10 12:34:39.879432
313,PRV_0313,facility,primary_care,in_network,west,2021-03-22,active,585,2026-08-10 12:34:39.879432
314,PRV_0314,facility,emergency,pending_contract,northeast,2018-01-26,active,550,2026-08-10 12:34:39.879432
315,PRV_0315,facility,primary_care,in_network,northeast,2023-11-22,active,576,2026-08-10 12:34:39.879432
316,PRV_0316,individual_md,cardiology,in_network,south,2018-11-01,active,561,2026-08-10 12:34:39.879432
317,PRV_0317,individual_md,orthopedics,in_network,west,2022-11-08,active,518,2026-08-10 12:34:39.879432
318,PRV_0318,facility,orthopedics,in_network,midwest,2021-12-18,terminated,541,2026-08-10 12:34:39.879432
319,PRV_0319,hospital,cardiology,in_network,south,2021-05-22,active,563,2026-08-10 12:34:39.879432
320,PRV_0320,individual_md,cardiology,preferred,west,2022-01-13,active,521,2026-08-10 12:34:39.879432
321,PRV_0321,urgent_care,pharmacy,preferred,west,2018-12-28,terminated,608,2026-08-10 12:34:39.879432
322,PRV_0322,individual_md,emergency,preferred,midwest,2023-09-09,terminated,590,2026-08-10 12:34:39.879432
323,PRV_0323,individual_md,imaging,out_of_network,northeast,2020-01-01,inactive,550,2026-08-10 12:34:39.879432
324,PRV_0324,facility,pharmacy,in_network,northeast,2020-02-20,terminated,535,2026-08-10 12:34:39.879432
325,PRV_0325,individual_md,cardiology,preferred,west,2019-09-17,active,557,2026-08-10 12:34:39.879432
326,PRV_0326,urgent_care,imaging,out_of_network,west,2020-09-07,active,565,2026-08-10 12:34:39.879432
327,PRV_0327,group_practice,lab,preferred,northeast,2022-10-11,terminated,595,2026-08-10 12:34:39.879432
328,PRV_0328,individual_md,cardiology,in_network,west,2022-06-24,active,558,2026-08-10 12:34:39.879432
329,PRV_0329,group_practice,emergency,in_network,west,2019-07-21,active,609,2026-08-10 12:34:39.879432
330,PRV_0330,urgent_care,imaging,in_network,west,2019-02-11,active,533,2026-08-10 12:34:39.879432
331,PRV_0331,group_practice,lab,out_of_network,south,2023-09-21,inactive,602,2026-08-10 12:34:39.879432
332,PRV_0332,hospital,pharmacy,pending_contract,west,2023-02-22,active,557,2026-08-10 12:34:39.879432
333,PRV_0333,individual_md,lab,preferred,south,2023-01-17,active,548,2026-08-10 12:34:39.879432
334,PRV_0334,individual_md,primary_care,in_network,south,2019-02-17,active,562,2026-08-10 12:34:39.879432
335,PRV_0335,group_practice,orthopedics,pending_contract,midwest,2018-11-07,active,514,2026-08-10 12:34:39.879432
336,PRV_0336,group_practice,emergency,pending_contract,west,2023-10-20,active,587,2026-08-10 12:34:39.879432
337,PRV_0337,group_practice,primary_care,in_network,west,2020-02-07,active,566,2026-08-10 12:34:39.879432
338,PRV_0338,urgent_care,pharmacy,in_network,northeast,2023-11-08,active,559,2026-08-10 12:34:39.879432
339,PRV_0339,group_practice,imaging,in_network,west,2021-09-18,active,528,2026-08-10 12:34:39.879432
340,PRV_0340,group_practice,imaging,in_network,west,2018-05-18,active,533,2026-08-10 12:34:39.879432
341,PRV_0341,facility,primary_care,out_of_network,west,2018-02-15,active,575,2026-08-10 12:34:39.879432
342,PRV_0342,facility,primary_care,in_network,west,2018-06-15,active,594,2026-08-10 12:34:39.879432
343,PRV_0343,hospital,cardiology,in_network,west,2018-04-29,active,533,2026-08-10 12:34:39.879432
344,PRV_0344,individual_md,orthopedics,in_network,west,2018-08-30,active,592,2026-08-10 12:34:39.879432
345,PRV_0345,individual_md,primary_care,out_of_network,south,2019-05-10,active,538,2026-08-10 12:34:39.879432
346,PRV_0346,individual_md,psychiatry,pending_contract,south,2023-11-08,active,562,2026-08-10 12:34:39.879432
347,PRV_0347,group_practice,emergency,in_network,south,2021-03-27,active,551,2026-08-10 12:34:39.879432
348,PRV_0348,individual_md,cardiology,in_network,west,2022-08-02,active,567,2026-08-10 12:34:39.879432
349,PRV_0349,group_practice,pharmacy,in_network,west,2018-11-03,inactive,538,2026-08-10 12:34:39.879432
350,PRV_0350,hospital,cardiology,preferred,south,2020-10-23,inactive,603,2026-08-10 12:34:39.879432
